d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
30,10,8,1,0.050000,33,3060.1290,3011.0000
30,50,8,1,0.050000,44,3097.5369,3051.0000
30,100,8,1,0.050000,57,3144.7133,3101.0000
30,200,8,1,0.050000,60,3240.3951,3201.0000
30,500,8,1,0.050000,60,3530.0633,3501.0000
30,10,9,1,0.050000,34,3021.5882,3011.0000
30,50,9,1,0.050000,37,3060.3947,3051.0000
30,100,9,1,0.050000,50,3107.8165,3101.0000
30,200,9,1,0.050000,55,3204.3596,3201.0000
30,500,9,1,0.050000,58,3492.3566,3501.0000
30,10,10,1,0.050000,33,3034.6771,3011.0000
30,50,10,1,0.050000,39,3072.9870,3051.0000
30,100,10,1,0.050000,49,3121.0924,3101.0000
30,200,10,1,0.050000,51,3217.2461,3201.0000
30,500,10,1,0.050000,62,3506.5518,3501.0000
30,10,11,1,0.050000,34,3058.4240,3011.0000
30,50,11,1,0.050000,34,3097.7505,3051.0000
30,100,11,1,0.050000,42,3144.1750,3101.0000
30,200,11,1,0.050000,47,3241.1015,3201.0000
30,500,11,1,0.050000,48,3528.1719,3501.0000
30,10,12,1,0.050000,34,3053.7926,3011.0000
30,50,12,1,0.050000,69,3092.6809,3051.0000
30,100,12,1,0.050000,87,3140.3716,3101.0000
30,200,12,1,0.050000,93,3237.6327,3201.0000
30,500,12,1,0.050000,96,3531.5547,3501.0000
30,10,13,1,0.050000,33,3016.7282,3011.0000
30,50,13,1,0.050000,35,3055.0152,3051.0000
30,100,13,1,0.050000,46,3102.9067,3101.0000
30,200,13,1,0.050000,51,3199.1819,3201.0000
30,500,13,1,0.050000,56,3487.0449,3501.0000
30,10,14,1,0.050000,34,3025.9115,3011.0000
30,50,14,1,0.050000,62,3064.4672,3051.0000
30,100,14,1,0.050000,80,3112.8312,3101.0000
30,200,14,1,0.050000,83,3210.5011,3201.0000
30,500,14,1,0.050000,88,3503.2753,3501.0000
30,10,15,1,0.050000,34,3039.5026,3011.0000
30,50,15,1,0.050000,37,3078.1370,3051.0000
30,100,15,1,0.050000,49,3126.1777,3101.0000
30,200,15,1,0.050000,56,3221.8794,3201.0000
30,500,15,1,0.050000,58,3511.2373,3501.0000
30,10,16,1,0.050000,33,3054.6833,3011.0000
30,50,16,1,0.050000,41,3092.4901,3051.0000
30,100,16,1,0.050000,54,3140.7464,3101.0000
30,200,16,1,0.050000,57,3236.4663,3201.0000
30,500,16,1,0.050000,61,3525.0079,3501.0000
30,10,17,1,0.050000,34,3086.0772,3011.0000
30,50,17,1,0.050000,38,3124.0879,3051.0000
30,100,17,1,0.050000,45,3171.8876,3101.0000
30,200,17,1,0.050000,50,3269.0025,3201.0000
30,500,17,1,0.050000,51,3557.4745,3501.0000
30,10,18,1,0.050000,33,3040.8175,3011.0000
30,50,18,1,0.050000,69,3079.4814,3051.0000
30,100,18,1,0.050000,87,3126.8867,3101.0000
30,200,18,1,0.050000,90,3225.5510,3201.0000
30,500,18,1,0.050000,94,3519.0271,3501.0000
30,10,19,1,0.050000,33,3038.3138,3011.0000
30,50,19,1,0.050000,43,3076.7895,3051.0000
30,100,19,1,0.050000,58,3124.5095,3101.0000
30,200,19,1,0.050000,66,3221.2807,3201.0000
30,500,19,1,0.050000,64,3510.5125,3501.0000
50,10,0,1,0.050000,34,3049.9898,3011.0000
