mode,alpha,seed,H,kl_noisy,mean_body_out,rho_current,action_var
coupled,-1.0,3,30,1.501292,0.972251,0.9900,0.04902764
coupled,-1.0,3,45,1.049979,0.970131,0.9900,0.04783258
coupled,-1.0,3,60,0.927043,0.965201,0.9900,0.04724169
coupled,-1.0,3,75,0.818276,0.961444,0.9900,0.04695225
coupled,-1.0,3,90,0.808588,0.957819,0.9900,0.04668472
coupled,-1.0,3,105,0.913504,0.955828,0.9900,0.04666671
coupled,-1.0,3,120,0.836883,0.953592,0.9900,0.04692528
coupled,-1.0,3,135,1.030012,0.953889,0.9900,0.04676778
coupled,-1.0,3,150,0.911134,0.954470,0.9900,0.04680889
coupled,-1.0,3,165,0.888379,0.954826,0.9900,0.04660926
coupled,-1.0,3,180,1.062414,0.954851,0.9900,0.04689591
coupled,-1.0,3,195,0.883394,0.956061,0.9900,0.04680720
coupled,-1.0,3,210,0.685061,0.955953,0.9900,0.04679495
coupled,-1.0,3,225,0.976866,0.956314,0.9900,0.04665741
coupled,-1.0,3,240,0.696509,0.955849,0.9900,0.04668353
coupled,-1.0,3,255,0.890726,0.956685,0.9900,0.04649568
coupled,-1.0,3,270,0.932238,0.956226,0.9900,0.04670882
coupled,-1.0,3,285,0.862733,0.956811,0.9900,0.04658909
coupled,-1.0,3,300,0.693608,0.956464,0.9900,0.04674233
coupled,0.0,4,0,3.315445,0.883519,0.9919,0.08407956
coupled,0.0,4,15,1.982902,0.984008,0.9900,0.08407956
coupled,0.0,4,30,1.613718,0.981303,0.9900,0.08407956
coupled,0.0,4,45,1.746738,0.979047,0.9900,0.08407956
coupled,0.0,4,60,1.569125,0.977269,0.9900,0.08407956
coupled,0.0,4,75,1.671927,0.976838,0.9900,0.08407956
coupled,0.0,4,90,1.493713,0.977344,0.9900,0.08407956
coupled,0.0,4,105,1.439795,0.977127,0.9900,0.08407956
coupled,0.0,4,120,1.637914,0.977180,0.9900,0.08407956
coupled,0.0,4,135,1.332829,0.977404,0.9900,0.08407956
coupled,0.0,4,150,1.452792,0.977416,0.9900,0.08407956
coupled,0.0,4,165,1.391089,0.977454,0.9900,0.08407956
coupled,0.0,4,180,1.346121,0.977695,0.9900,0.08407956
coupled,0.0,4,195,1.359978,0.977736,0.9900,0.08407956
coupled,0.0,4,210,1.653759,0.977327,0.9900,0.08407956
coupled,0.0,4,225,1.386541,0.977226,0.9900,0.08407956
coupled,0.0,4,240,1.376365,0.977392,0.9900,0.08407956
